user_id,birthyear,gender,joinedAt,location,preference,service_prefer
3647864012,1993,male,2012-10-02T06:40:55.524Z,kathmandu,high,Weddings
3476440521,1992,male,2012-09-29T18:03:12.111Z,chitwan,medium,Private Parties
517514445,1975,male,2012-10-06T03:14:07.149Z,birgung,low,Corporate Events
781585781,1991,female,2012-11-04T08:59:43.783Z,chitwan,high,Weddings
1016098580,1995,female,2012-09-10T16:06:53.132Z,parsa,low,Weddings
1426522332,1973,female,2012-11-01T09:59:17.590Z,balglung,medium,Private Parties
725266702,1994,male,2012-10-03T05:22:17.637Z,hetauda,high,Corporate Events
613687941,1965,female,2012-10-03T12:19:29.975Z,lalitpur,medium,Weddings
1098509207,1979,male,2012-10-31T10:11:57.668Z,bara,low,Weddings
3598071768,1988,female,2012-10-02T07:28:09.555Z,japan,high,Private Parties
4252244266,1992,male,2012-09-25T13:38:04.083Z,india,low,Corporate Events
4083498051,1996,female,2012-10-30T05:09:45.592Z,china,medium,Weddings
711497121,1993,female,2012-10-26T15:34:46.113Z,galgi,high,Weddings
1020819241,1996,female,2012-10-30T05:16:27.136Z,galli,medium,Private Parties
881617516,2000,male,2012-08-02T10:52:49.955Z,nepalgung,low,Corporate Events
3832426265,1992,male,2012-09-04T00:22:54.707Z,sira,high,Weddings
4185999054,1993,male,2012-08-21T06:32:50.000Z,bardibas,low,Weddings
1240515743,1990,male,2012-10-27T21:25:45.175Z,mugu,medium,Private Parties
1999363021,1993,male,2012-10-09T13:22:02.432Z,jumla,high,Corporate Events
44098316,2000,male,2012-05-02T21:11:01.622Z,humla,medium,Weddings
1918590410,1988,male,2012-10-30T18:36:43.809Z,mustang,low,Weddings
1768539776,1988,female,2012-10-30T11:55:19.469Z,pokhara,high,Private Parties
4235478695,1992,male,2012-10-31T03:36:55.378Z,nepalgung,low,Corporate Events
3324266513,1994,female,2012-10-28T10:57:09.302Z,sira,medium,Weddings
3686526729,1994,male,2012-11-01T05:13:49.690Z,bardibas,high,Weddings
4120508790,1987,male,2012-06-15T22:23:01.375Z,mugu,medium,Private Parties
