event_id,user_id,start_time,planners,location,price,rating,services,Prop-writer,recommended,vote_count,popularity
684921758,3647864012,2012-10-31T00:00:00.001Z,Angela Pvt Ltd,kathmandu,high,3.5,Weddings,Harvey,1,11800,150.437577
244999119,3476440521,2012-11-03T00:00:00.001Z,Larry Pvt Ltd,chitwan,medium,4,Private Parties,Angela,1,4500,139.082615
3928440935,517514445,2012-11-05T00:00:00.001Z,Louise Pvt Ltd,birgung,low,4.5,Corporate Events,Larry,1,4466,107.376788
2582345152,781585781,2012-10-30T00:00:00.001Z,Benjamin Pvt Ltd,chitwan,high,4,Weddings,Louise,1,9106,112.31295
1051165850,1016098580,2012-09-27T00:00:00.001Z,Joanne Pvt Ltd,parsa,low,3.5,Weddings,Benjamin,0,2124,43.926995
1212611096,1426522332,2012-11-16T00:00:00.001Z,Arthur Pvt Ltd,balglung,medium,3.5,Private Parties,Joanne,1,3576,115.699814
3689283674,725266702,2012-11-02T20:00:00.003Z,Sharon Pvt Ltd,hetauda,high,4,Corporate Events,Arthur,1,3330,48.681969
2584113432,613687941,2012-10-31T00:00:00.001Z,Eric Pvt Ltd,lalitpur,medium,4.5,Weddings,Sharon,0,6767,134.279229
3365728297,1098509207,2012-10-31T00:00:00.001Z,Jeremy Pvt Ltd,bara,low,3.4,Weddings,Eric,1,5293,98.885637
2912638473,3598071768,2012-10-18T00:00:00.001Z,Margaret Pvt Ltd,japan,high,3.5,Private Parties,Jeremy,0,7004,155.790452
1609864127,4252244266,2012-11-06T22:40:00.003Z,Brian Pvt Ltd,india,low,4.2,Corporate Events,Margaret,0,1400,57.925623
1304227508,4083498051,2012-08-31T00:00:00.001Z,David Pvt Ltd,china,medium,4.1,Weddings,Brian,1,2965,107.928811
2608543989,711497121,2012-11-12T17:00:00.003Z,William Pvt Ltd,galgi,high,3.5,Weddings,David,1,5246,145.847379
298169907,1020819241,2012-12-01T00:00:00.001Z,Lori Pvt Ltd,galli,medium,4,Private Parties,William,0,2311,49.046956
2953099360,881617516,2012-08-26T17:00:00.003Z,Christopher Pvt Ltd,nepalgung,low,4.5,Corporate Events,Lori,1,6359,99.398009
615449287,3832426265,2012-08-31T00:00:00.001Z,Margaret Pvt Ltd,sira,high,4,Weddings,Christopher,0,1630,53.978602
1922719636,4185999054,2012-10-31T00:00:00.001Z,Gary Pvt Ltd,bardibas,low,3.5,Weddings,Margaret,0,11776,144.448633
1261820355,1240515743,2012-11-08T00:00:00.001Z,David Pvt Ltd,mugu,medium,3.5,Private Parties,Gary,1,4948,135.413856
2773204108,1999363021,2012-11-16T20:00:00.002Z,Cheryl Pvt Ltd,jumla,high,4,Corporate Events,David,0,4160,52.035179
2285783902,44098316,2012-09-28T00:00:00.001Z,Sharon Pvt Ltd,humla,medium,4.5,Weddings,Cheryl,1,4760,120.965743
1873976153,1918590410,2012-09-30T00:00:00.001Z,Lois Pvt Ltd,mustang,low,3.4,Weddings,Sharon,0,6586,89.866276
